,a,b
0,13,-4.734231371962614
1,5,-4.734231371962614
2,6,-4.734231371962614
3,14,-4.734231371962614
4,2,-4.734231371962614
5,10,-4.734231371962614
6,10,-4.734231371962614
7,7,-4.734231371962614
8,12,-4.734231371962614
9,1,-4.734231371962614
10,18,-4.734231371962614
11,4,-4.734231371962614
12,22,-4.734231371962614
13,2,-4.734231371962614
14,4,-4.734231371962614
15,1,-4.734231371962614
16,20,-4.734231371962614
17,18,-4.734231371962614
18,20,-4.734231371962614
19,3,-4.734231371962614
20,16,-4.734231371962614
21,5,-4.734231371962614
22,2,-4.734231371962614
23,14,-4.734231371962614
24,15,-4.734231371962614
25,1,-4.734231371962614
26,0,-4.734231371962614
27,6,-4.734231371962614
28,13,-4.734231371962614
29,10,-4.734231371962614
30,3,-4.734231371962614
31,3,-4.734231371962614
32,19,-4.734231371962614
33,26,-4.734231371962614
34,22,-4.734231371962614
35,0,-4.734231371962614
36,6,-4.734231371962614
37,15,-4.734231371962614
38,13,-4.734231371962614
39,29,-4.734231371962614
40,23,-4.734231371962614
41,20,-4.734231371962614
42,15,-4.734231371962614
43,10,-4.734231371962614
44,15,-4.734231371962614
45,23,-4.734231371962614
46,3,-4.734231371962614
47,6,-4.734231371962614
48,9,-4.734231371962614
49,12,-4.734231371962614
50,1,-4.734231371962614
51,29,-4.734231371962614
52,18,-4.734231371962614
53,28,-4.734231371962614
54,8,-4.734231371962614
55,8,-4.734231371962614
56,14,-4.734231371962614
57,9,-4.734231371962614
58,7,-4.734231371962614
59,15,-4.734231371962614
60,4,-4.734231371962614
61,23,-4.734231371962614
62,11,-4.734231371962614
63,21,-4.734231371962614
64,1,-4.734231371962614
65,10,-4.734231371962614
66,15,-4.734231371962614
67,0,-4.734231371962614
68,28,-4.734231371962614
69,27,-4.734231371962614
70,6,-4.734231371962614
71,8,-4.734231371962614
72,2,-4.734231371962614
73,23,-4.734231371962614
74,25,-4.734231371962614
75,26,-4.734231371962614
76,6,-4.734231371962614
77,3,-4.734231371962614
78,16,-4.734231371962614
79,28,-4.734231371962614
80,21,-4.734231371962614
81,10,-4.734231371962614
82,16,-4.734231371962614
83,26,-4.734231371962614
84,3,-4.734231371962614
85,23,-4.734231371962614
86,9,-4.734231371962614
87,15,-4.734231371962614
88,18,-4.734231371962614
89,29,-4.734231371962614
90,23,-4.734231371962614
91,27,-4.734231371962614
92,2,-4.734231371962614
93,24,-4.734231371962614
94,12,-4.734231371962614
95,8,-4.734231371962614
96,7,-4.734231371962614
97,17,-4.734231371962614
98,13,-4.734231371962614
99,3,-4.734231371962614
